#	Kernel	Build	Build_Time	Run	Run_Time	Run_Exit	Verify	Verify_Strategy	Stdout_First5
28	jenkins-hash	PASS	0.123s	PASS	0.645s	0	PASS	stdout_pattern	input string: Four score and seven years ago hash is cd628161 | Average kernel execution time : 0.034731 (s) | Verify the results computed on the device.. | PASS
29	knn	PASS	0.188s	PASS	8.263s	0	FAIL	stdout_pattern	Number of reference points      :   4096 | Number of query points          :   4096 | Dimension of points             :   68 | Number of neighbors to consider :   20 | Processing kNN search           :
30	mandelbrot	PASS	0.27s	PASS	0.196s	0	PASS	stdout_pattern	No Print() output due to size too large |        serial time: 0.163091s | Average parallel time: 15.045 ms | Average kernel execution time: 15.0447 ms | Success
31	mis	PASS	0.133s	FAIL	0.001s	255	FAIL	exit_code	ECL-MIS v1.3 (main.cpp) | Copyright 2017-2020 Texas State University
32	murmurhash3	PASS	0.134s	PASS	0.495s	0	PASS	stdout_pattern	Average kernel execution time 0.010766 (s) | SUCCESS
33	myocyte	PASS	0.404s	PASS	0.001s	0	PASS	exit_code	Provide time argument, example: -time 100
34	nw	PASS	0.27s	PASS	35.566s	0	PASS	stdout_pattern	WG size of kernel = 16  | Total kernel execution time: 33.867554 (s) | PASS
35	perplexity	PASS	0.219s	PASS	0.181s	0	PASS	stdout_pattern	Average kernel execution time: 0.009556 (s) | PASS
36	popcount	PASS	0.169s	PASS	1.81s	0	PASS	exit_code	Average kernel execution time (pc1): 6869.598000 (us) | Success | Average kernel execution time (pc2): 5583.290000 (us) | Success | Average kernel execution time (pc3): 13154.341000 (us)
37	sobol	PASS	0.588s	FAIL	1.164s	-11	FAIL	stdout_pattern	Allocating CPU memory... | Initializing direction numbers... | Executing QRNG on GPU...
38	stencil1d	PASS	0.141s	PASS	4.97s	0	PASS	stdout_pattern	Average kernel execution time: 4.622653 (s) | PASS
39	triad	PASS	1.837s	PASS	0.361s	0	PASS	stdout_pattern	>> Executing Triad with vectors of length 4194304 and block size of 16384 elements. | Block: 64KB | Average TriadFlops 167.057 GFLOPS/s | Average TriadBdwth 1002.34 GB/s | PASS
